hypothesis,metric,quantile,pickaxe_nofood_profit,bomb_food_profit,bomb_minus_pickaxe,bomb_food_higher
H2,net_profit,0.0,-875.4,-11554.5,-10679.1,False
H2,net_profit,0.05,-659.24,-7821.575,-7162.335,False
H2,net_profit,0.1,-566.07,-6686.56,-6120.490000000001,False
H2,net_profit,0.15,-491.90500000000003,-5959.155000000002,-5467.250000000002,False
H2,net_profit,0.2,-437.34000000000003,-5367.34,-4930.0,False
H2,net_profit,0.25,-376.475,-4825.050000000001,-4448.575000000001,False
H2,net_profit,0.3,-310.71000000000004,-4356.960000000001,-4046.250000000001,False
H2,net_profit,0.35,-254.04500000000007,-3863.915000000001,-3609.870000000001,False
H2,net_profit,0.4,-189.96000000000004,-3329.2200000000007,-3139.2600000000007,False
H2,net_profit,0.45,-126.01500000000001,-2940.9649999999997,-2814.95,False
H2,net_profit,0.5,-59.55000000000007,-2404.800000000001,-2345.250000000001,False
H2,net_profit,0.55,12.514999999999985,-1924.0400000000004,-1936.5550000000003,False
H2,net_profit,0.6,91.29999999999995,-1429.5600000000015,-1520.8600000000015,False
H2,net_profit,0.65,169.49000000000015,-885.2050000000002,-1054.6950000000004,False
H2,net_profit,0.7,279.45999999999964,-256.9900000000005,-536.4500000000002,False
H2,net_profit,0.75,384.7749999999999,350.57499999999936,-34.20000000000056,False
H2,net_profit,0.8,512.8399999999998,915.2999999999993,402.45999999999947,True
H2,net_profit,0.85,677.4099999999996,1857.4299999999985,1180.0199999999988,True
H2,net_profit,0.9,927.0999999999999,2968.399999999998,2041.299999999998,True
H2,net_profit,0.95,1384.3399999999997,4553.444999999996,3169.1049999999964,True
H2,net_profit,1.0,6200.2,23708.0,17507.8,True
